Scenario_ID,Grid,Load_Profile_ID,Num_Target_Buses,Target_Buses,Tripped_Line_Idx,Tripped_From_Bus,Tripped_To_Bus,Converged,Security_Class,Security_Label,Peak_Loading_Pct,Min_Voltage_PU,Violations_Count,Total_Load_MW
CASE57_0031_LINE_1_2,CASE57,31,15,"5,35,22,31,34,3,48,6,49,21,4,28,26,13,19",0,1,2,1,2,CRITICAL,4.2,0.82,16,1491.1
CASE57_0031_LINE_2_3,CASE57,31,15,"5,35,22,31,34,3,48,6,49,21,4,28,26,13,19",1,2,3,1,2,CRITICAL,4.1,0.82,16,1491.1
CASE57_0031_LINE_3_4,CASE57,31,15,"5,35,22,31,34,3,48,6,49,21,4,28,26,13,19",2,3,4,1,2,CRITICAL,2.8,0.809,17,1491.1
CASE57_0031_LINE_4_5,CASE57,31,15,"5,35,22,31,34,3,48,6,49,21,4,28,26,13,19",3,4,5,1,2,CRITICAL,2.7,0.827,12,1491.1
CASE57_0031_LINE_4_6,CASE57,31,15,"5,35,22,31,34,3,48,6,49,21,4,28,26,13,19",4,4,6,1,2,CRITICAL,2.7,0.826,12,1491.1
CASE57_0031_LINE_6_7,CASE57,31,15,"5,35,22,31,34,3,48,6,49,21,4,28,26,13,19",5,6,7,1,2,CRITICAL,2.7,0.827,12,1491.1
CASE57_0031_LINE_6_8,CASE57,31,15,"5,35,22,31,34,3,48,6,49,21,4,28,26,13,19",6,6,8,1,2,CRITICAL,2.7,0.827,12,1491.1
CASE57_0031_LINE_8_9,CASE57,31,15,"5,35,22,31,34,3,48,6,49,21,4,28,26,13,19",7,8,9,1,2,CRITICAL,2.8,0.811,17,1491.1
CASE57_0031_LINE_9_10,CASE57,31,15,"5,35,22,31,34,3,48,6,49,21,4,28,26,13,19",8,9,10,1,2,CRITICAL,2.7,0.827,12,1491.1
CASE57_0031_LINE_9_11,CASE57,31,15,"5,35,22,31,34,3,48,6,49,21,4,28,26,13,19",9,9,11,1,2,CRITICAL,2.7,0.819,16,1491.1
CASE57_0031_LINE_9_12,CASE57,31,15,"5,35,22,31,34,3,48,6,49,21,4,28,26,13,19",10,9,12,1,2,CRITICAL,2.7,0.827,12,1491.1
