Scenario_ID,Grid,Load_Profile_ID,Num_Target_Buses,Target_Buses,Tripped_Line_Idx,Tripped_From_Bus,Tripped_To_Bus,Converged,Security_Class,Security_Label,Peak_Loading_Pct,Min_Voltage_PU,Violations_Count,Total_Load_MW
CASE9_0006_LINE_1_4,CASE9,6,5,"2,7,3,9,6",0,1,4,0,2,CRITICAL,999.0,0.0,10,628.1
CASE9_0006_LINE_4_5,CASE9,6,5,"2,7,3,9,6",1,4,5,0,2,CRITICAL,999.0,0.0,10,628.1
CASE9_0006_LINE_5_6,CASE9,6,5,"2,7,3,9,6",2,5,6,1,2,CRITICAL,201.8,0.77,5,628.1
CASE9_0006_LINE_3_6,CASE9,6,5,"2,7,3,9,6",3,3,6,0,2,CRITICAL,999.0,0.0,10,628.1
CASE9_0006_LINE_6_7,CASE9,6,5,"2,7,3,9,6",4,6,7,1,2,CRITICAL,172.4,0.865,3,628.1
CASE9_0006_LINE_7_8,CASE9,6,5,"2,7,3,9,6",5,7,8,0,2,CRITICAL,999.0,0.0,10,628.1
CASE9_0006_LINE_8_2,CASE9,6,5,"2,7,3,9,6",6,8,2,0,2,CRITICAL,999.0,0.0,10,628.1
CASE9_0006_LINE_8_9,CASE9,6,5,"2,7,3,9,6",7,8,9,1,2,CRITICAL,195.5,0.729,4,628.1
CASE9_0006_LINE_9_4,CASE9,6,5,"2,7,3,9,6",8,9,4,0,2,CRITICAL,999.0,0.0,10,628.1
CASE9_0007_LINE_1_4,CASE9,7,7,"4,6,2,3,8,9,5",0,1,4,0,2,CRITICAL,999.0,0.0,10,726.9
CASE9_0007_LINE_4_5,CASE9,7,7,"4,6,2,3,8,9,5",1,4,5,0,2,CRITICAL,999.0,0.0,10,726.9
CASE9_0007_LINE_5_6,CASE9,7,7,"4,6,2,3,8,9,5",2,5,6,0,2,CRITICAL,999.0,0.0,10,726.9
CASE9_0007_LINE_3_6,CASE9,7,7,"4,6,2,3,8,9,5",3,3,6,0,2,CRITICAL,999.0,0.0,10,726.9
CASE9_0007_LINE_6_7,CASE9,7,7,"4,6,2,3,8,9,5",4,6,7,1,2,CRITICAL,229.7,0.834,5,726.9
CASE9_0007_LINE_7_8,CASE9,7,7,"4,6,2,3,8,9,5",5,7,8,0,2,CRITICAL,999.0,0.0,10,726.9
CASE9_0007_LINE_8_2,CASE9,7,7,"4,6,2,3,8,9,5",6,8,2,0,2,CRITICAL,999.0,0.0,10,726.9
CASE9_0007_LINE_8_9,CASE9,7,7,"4,6,2,3,8,9,5",7,8,9,0,2,CRITICAL,999.0,0.0,10,726.9
CASE9_0007_LINE_9_4,CASE9,7,7,"4,6,2,3,8,9,5",8,9,4,0,2,CRITICAL,999.0,0.0,10,726.9
CASE9_0008_LINE_1_4,CASE9,8,7,"2,7,5,8,9,6,3",0,1,4,0,2,CRITICAL,999.0,0.0,10,598.2
CASE9_0008_LINE_4_5,CASE9,8,7,"2,7,5,8,9,6,3",1,4,5,0,2,CRITICAL,999.0,0.0,10,598.2
CASE9_0008_LINE_5_6,CASE9,8,7,"2,7,5,8,9,6,3",2,5,6,1,2,CRITICAL,165.6,0.825,3,598.2
CASE9_0008_LINE_3_6,CASE9,8,7,"2,7,5,8,9,6,3",3,3,6,0,2,CRITICAL,999.0,0.0,10,598.2
CASE9_0008_LINE_6_7,CASE9,8,7,"2,7,5,8,9,6,3",4,6,7,1,2,CRITICAL,154.2,0.909,1,598.2
CASE9_0008_LINE_7_8,CASE9,8,7,"2,7,5,8,9,6,3",5,7,8,1,2,CRITICAL,176.9,0.808,6,598.2
CASE9_0008_LINE_8_2,CASE9,8,7,"2,7,5,8,9,6,3",6,8,2,0,2,CRITICAL,999.0,0.0,10,598.2
CASE9_0008_LINE_8_9,CASE9,8,7,"2,7,5,8,9,6,3",7,8,9,1,2,CRITICAL,165.8,0.842,3,598.2
CASE9_0008_LINE_9_4,CASE9,8,7,"2,7,5,8,9,6,3",8,9,4,0,2,CRITICAL,999.0,0.0,10,598.2
CASE9_0009_LINE_1_4,CASE9,9,5,"9,7,4,5,2",0,1,4,0,2,CRITICAL,999.0,0.0,10,571.7
CASE9_0009_LINE_4_5,CASE9,9,5,"9,7,4,5,2",1,4,5,0,2,CRITICAL,999.0,0.0,10,571.7
CASE9_0009_LINE_5_6,CASE9,9,5,"9,7,4,5,2",2,5,6,1,2,CRITICAL,174.7,0.74,4,571.7
CASE9_0009_LINE_3_6,CASE9,9,5,"9,7,4,5,2",3,3,6,0,2,CRITICAL,999.0,0.0,10,571.7
CASE9_0009_LINE_6_7,CASE9,9,5,"9,7,4,5,2",4,6,7,1,2,CRITICAL,150.3,0.856,3,571.7
CASE9_0009_LINE_7_8,CASE9,9,5,"9,7,4,5,2",5,7,8,1,2,CRITICAL,150.0,0.86,3,571.7
CASE9_0009_LINE_8_2,CASE9,9,5,"9,7,4,5,2",6,8,2,0,2,CRITICAL,999.0,0.0,10,571.7
CASE9_0009_LINE_8_9,CASE9,9,5,"9,7,4,5,2",7,8,9,0,2,CRITICAL,999.0,0.0,10,571.7
CASE9_0009_LINE_9_4,CASE9,9,5,"9,7,4,5,2",8,9,4,0,2,CRITICAL,999.0,0.0,10,571.7
CASE9_0010_LINE_1_4,CASE9,10,2,"3,8",0,1,4,0,2,CRITICAL,999.0,0.0,10,406.0
CASE9_0010_LINE_4_5,CASE9,10,2,"3,8",1,4,5,1,2,CRITICAL,69.6,0.895,1,406.0
CASE9_0010_LINE_5_6,CASE9,10,2,"3,8",2,5,6,1,1,ALERT,68.6,0.929,0,406.0
CASE9_0010_LINE_3_6,CASE9,10,2,"3,8",3,3,6,0,2,CRITICAL,999.0,0.0,10,406.0
CASE9_0010_LINE_6_7,CASE9,10,2,"3,8",4,6,7,1,1,ALERT,66.5,0.94,0,406.0
CASE9_0010_LINE_7_8,CASE9,10,2,"3,8",5,7,8,1,1,ALERT,72.8,0.923,0,406.0
CASE9_0010_LINE_8_2,CASE9,10,2,"3,8",6,8,2,0,2,CRITICAL,999.0,0.0,10,406.0
