Scenario_ID,Grid,Load_Profile_ID,Num_Target_Buses,Target_Buses,Tripped_Line_Idx,Tripped_From_Bus,Tripped_To_Bus,Converged,Security_Class,Security_Label,Peak_Loading_Pct,Min_Voltage_PU,Violations_Count,Total_Load_MW
CASE39_0026_LINE_1_2,CASE39,26,35,"4,3,37,33,21,22,5,28,35,6,23,9,13,25,38,7,15,36,24,16,2,32,10,39,27,11,26,14,30,34,12,20,1,18,8",0,1,2,1,0,SAFE,68.4,0.982,0,6669.7
CASE39_0026_LINE_1_39,CASE39,26,35,"4,3,37,33,21,22,5,28,35,6,23,9,13,25,38,7,15,36,24,16,2,32,10,39,27,11,26,14,30,34,12,20,1,18,8",1,1,39,1,0,SAFE,68.3,0.982,0,6669.7
CASE39_0026_LINE_2_3,CASE39,26,35,"4,3,37,33,21,22,5,28,35,6,23,9,13,25,38,7,15,36,24,16,2,32,10,39,27,11,26,14,30,34,12,20,1,18,8",2,2,3,1,0,SAFE,68.9,0.982,0,6669.7
CASE39_0026_LINE_2_25,CASE39,26,35,"4,3,37,33,21,22,5,28,35,6,23,9,13,25,38,7,15,36,24,16,2,32,10,39,27,11,26,14,30,34,12,20,1,18,8",3,2,25,1,0,SAFE,68.7,0.982,0,6669.7
CASE39_0026_LINE_2_30,CASE39,26,35,"4,3,37,33,21,22,5,28,35,6,23,9,13,25,38,7,15,36,24,16,2,32,10,39,27,11,26,14,30,34,12,20,1,18,8",4,2,30,0,2,CRITICAL,999.0,0.0,10,6669.7
CASE39_0026_LINE_3_4,CASE39,26,35,"4,3,37,33,21,22,5,28,35,6,23,9,13,25,38,7,15,36,24,16,2,32,10,39,27,11,26,14,30,34,12,20,1,18,8",5,3,4,1,0,SAFE,70.1,0.969,0,6669.7
CASE39_0026_LINE_3_18,CASE39,26,35,"4,3,37,33,21,22,5,28,35,6,23,9,13,25,38,7,15,36,24,16,2,32,10,39,27,11,26,14,30,34,12,20,1,18,8",6,3,18,1,0,SAFE,68.3,0.982,0,6669.7
CASE39_0026_LINE_4_5,CASE39,26,35,"4,3,37,33,21,22,5,28,35,6,23,9,13,25,38,7,15,36,24,16,2,32,10,39,27,11,26,14,30,34,12,20,1,18,8",7,4,5,1,1,ALERT,96.5,0.982,0,6669.7
CASE39_0026_LINE_4_14,CASE39,26,35,"4,3,37,33,21,22,5,28,35,6,23,9,13,25,38,7,15,36,24,16,2,32,10,39,27,11,26,14,30,34,12,20,1,18,8",8,4,14,1,0,SAFE,72.3,0.982,0,6669.7
CASE39_0026_LINE_5_6,CASE39,26,35,"4,3,37,33,21,22,5,28,35,6,23,9,13,25,38,7,15,36,24,16,2,32,10,39,27,11,26,14,30,34,12,20,1,18,8",9,5,6,1,0,SAFE,87.0,0.982,0,6669.7
CASE39_0026_LINE_5_8,CASE39,26,35,"4,3,37,33,21,22,5,28,35,6,23,9,13,25,38,7,15,36,24,16,2,32,10,39,27,11,26,14,30,34,12,20,1,18,8",10,5,8,1,0,SAFE,68.4,0.982,0,6669.7
CASE39_0026_LINE_6_7,CASE39,26,35,"4,3,37,33,21,22,5,28,35,6,23,9,13,25,38,7,15,36,24,16,2,32,10,39,27,11,26,14,30,34,12,20,1,18,8",11,6,7,1,0,SAFE,77.3,0.98,0,6669.7
CASE39_0026_LINE_6_11,CASE39,26,35,"4,3,37,33,21,22,5,28,35,6,23,9,13,25,38,7,15,36,24,16,2,32,10,39,27,11,26,14,30,34,12,20,1,18,8",12,6,11,1,0,SAFE,68.4,0.982,0,6669.7
CASE39_0026_LINE_6_31,CASE39,26,35,"4,3,37,33,21,22,5,28,35,6,23,9,13,25,38,7,15,36,24,16,2,32,10,39,27,11,26,14,30,34,12,20,1,18,8",13,6,31,0,2,CRITICAL,999.0,0.0,10,6669.7
CASE39_0026_LINE_7_8,CASE39,26,35,"4,3,37,33,21,22,5,28,35,6,23,9,13,25,38,7,15,36,24,16,2,32,10,39,27,11,26,14,30,34,12,20,1,18,8",14,7,8,1,0,SAFE,69.7,0.982,0,6669.7
CASE39_0026_LINE_8_9,CASE39,26,35,"4,3,37,33,21,22,5,28,35,6,23,9,13,25,38,7,15,36,24,16,2,32,10,39,27,11,26,14,30,34,12,20,1,18,8",15,8,9,1,0,SAFE,68.6,0.968,0,6669.7
CASE39_0026_LINE_9_39,CASE39,26,35,"4,3,37,33,21,22,5,28,35,6,23,9,13,25,38,7,15,36,24,16,2,32,10,39,27,11,26,14,30,34,12,20,1,18,8",16,9,39,1,0,SAFE,68.4,0.982,0,6669.7
CASE39_0026_LINE_10_11,CASE39,26,35,"4,3,37,33,21,22,5,28,35,6,23,9,13,25,38,7,15,36,24,16,2,32,10,39,27,11,26,14,30,34,12,20,1,18,8",17,10,11,1,0,SAFE,73.3,0.982,0,6669.7
CASE39_0026_LINE_10_13,CASE39,26,35,"4,3,37,33,21,22,5,28,35,6,23,9,13,25,38,7,15,36,24,16,2,32,10,39,27,11,26,14,30,34,12,20,1,18,8",18,10,13,1,0,SAFE,88.0,0.982,0,6669.7
CASE39_0026_LINE_10_32,CASE39,26,35,"4,3,37,33,21,22,5,28,35,6,23,9,13,25,38,7,15,36,24,16,2,32,10,39,27,11,26,14,30,34,12,20,1,18,8",19,10,32,0,2,CRITICAL,999.0,0.0,10,6669.7
CASE39_0026_LINE_12_11,CASE39,26,35,"4,3,37,33,21,22,5,28,35,6,23,9,13,25,38,7,15,36,24,16,2,32,10,39,27,11,26,14,30,34,12,20,1,18,8",20,12,11,1,0,SAFE,68.4,0.977,0,6669.7
CASE39_0026_LINE_12_13,CASE39,26,35,"4,3,37,33,21,22,5,28,35,6,23,9,13,25,38,7,15,36,24,16,2,32,10,39,27,11,26,14,30,34,12,20,1,18,8",21,12,13,1,0,SAFE,68.3,0.975,0,6669.7
CASE39_0026_LINE_13_14,CASE39,26,35,"4,3,37,33,21,22,5,28,35,6,23,9,13,25,38,7,15,36,24,16,2,32,10,39,27,11,26,14,30,34,12,20,1,18,8",22,13,14,1,1,ALERT,95.5,0.982,0,6669.7
CASE39_0026_LINE_14_15,CASE39,26,35,"4,3,37,33,21,22,5,28,35,6,23,9,13,25,38,7,15,36,24,16,2,32,10,39,27,11,26,14,30,34,12,20,1,18,8",23,14,15,1,0,SAFE,68.2,0.982,0,6669.7
CASE39_0026_LINE_15_16,CASE39,26,35,"4,3,37,33,21,22,5,28,35,6,23,9,13,25,38,7,15,36,24,16,2,32,10,39,27,11,26,14,30,34,12,20,1,18,8",24,15,16,1,1,ALERT,84.5,0.909,0,6669.7
CASE39_0026_LINE_16_17,CASE39,26,35,"4,3,37,33,21,22,5,28,35,6,23,9,13,25,38,7,15,36,24,16,2,32,10,39,27,11,26,14,30,34,12,20,1,18,8",25,16,17,1,0,SAFE,89.1,0.982,0,6669.7
CASE39_0026_LINE_16_19,CASE39,26,35,"4,3,37,33,21,22,5,28,35,6,23,9,13,25,38,7,15,36,24,16,2,32,10,39,27,11,26,14,30,34,12,20,1,18,8",26,16,19,0,2,CRITICAL,999.0,0.0,10,6669.7
CASE39_0026_LINE_16_21,CASE39,26,35,"4,3,37,33,21,22,5,28,35,6,23,9,13,25,38,7,15,36,24,16,2,32,10,39,27,11,26,14,30,34,12,20,1,18,8",27,16,21,1,1,ALERT,92.9,0.982,0,6669.7
CASE39_0026_LINE_16_24,CASE39,26,35,"4,3,37,33,21,22,5,28,35,6,23,9,13,25,38,7,15,36,24,16,2,32,10,39,27,11,26,14,30,34,12,20,1,18,8",28,16,24,1,0,SAFE,68.0,0.982,0,6669.7
CASE39_0026_LINE_17_18,CASE39,26,35,"4,3,37,33,21,22,5,28,35,6,23,9,13,25,38,7,15,36,24,16,2,32,10,39,27,11,26,14,30,34,12,20,1,18,8",29,17,18,1,0,SAFE,70.4,0.982,0,6669.7
CASE39_0026_LINE_17_27,CASE39,26,35,"4,3,37,33,21,22,5,28,35,6,23,9,13,25,38,7,15,36,24,16,2,32,10,39,27,11,26,14,30,34,12,20,1,18,8",30,17,27,1,0,SAFE,68.5,0.982,0,6669.7
CASE39_0026_LINE_19_20,CASE39,26,35,"4,3,37,33,21,22,5,28,35,6,23,9,13,25,38,7,15,36,24,16,2,32,10,39,27,11,26,14,30,34,12,20,1,18,8",31,19,20,0,2,CRITICAL,999.0,0.0,10,6669.7
CASE39_0026_LINE_19_33,CASE39,26,35,"4,3,37,33,21,22,5,28,35,6,23,9,13,25,38,7,15,36,24,16,2,32,10,39,27,11,26,14,30,34,12,20,1,18,8",32,19,33,0,2,CRITICAL,999.0,0.0,10,6669.7
CASE39_0026_LINE_20_34,CASE39,26,35,"4,3,37,33,21,22,5,28,35,6,23,9,13,25,38,7,15,36,24,16,2,32,10,39,27,11,26,14,30,34,12,20,1,18,8",33,20,34,0,2,CRITICAL,999.0,0.0,10,6669.7
CASE39_0026_LINE_21_22,CASE39,26,35,"4,3,37,33,21,22,5,28,35,6,23,9,13,25,38,7,15,36,24,16,2,32,10,39,27,11,26,14,30,34,12,20,1,18,8",34,21,22,1,2,CRITICAL,119.1,0.982,1,6669.7
CASE39_0026_LINE_22_23,CASE39,26,35,"4,3,37,33,21,22,5,28,35,6,23,9,13,25,38,7,15,36,24,16,2,32,10,39,27,11,26,14,30,34,12,20,1,18,8",35,22,23,1,0,SAFE,68.1,0.982,0,6669.7
CASE39_0026_LINE_22_35,CASE39,26,35,"4,3,37,33,21,22,5,28,35,6,23,9,13,25,38,7,15,36,24,16,2,32,10,39,27,11,26,14,30,34,12,20,1,18,8",36,22,35,0,2,CRITICAL,999.0,0.0,10,6669.7
CASE39_0026_LINE_23_24,CASE39,26,35,"4,3,37,33,21,22,5,28,35,6,23,9,13,25,38,7,15,36,24,16,2,32,10,39,27,11,26,14,30,34,12,20,1,18,8",37,23,24,1,1,ALERT,91.8,0.982,0,6669.7
CASE39_0026_LINE_23_36,CASE39,26,35,"4,3,37,33,21,22,5,28,35,6,23,9,13,25,38,7,15,36,24,16,2,32,10,39,27,11,26,14,30,34,12,20,1,18,8",38,23,36,0,2,CRITICAL,999.0,0.0,10,6669.7
CASE39_0026_LINE_25_26,CASE39,26,35,"4,3,37,33,21,22,5,28,35,6,23,9,13,25,38,7,15,36,24,16,2,32,10,39,27,11,26,14,30,34,12,20,1,18,8",39,25,26,1,0,SAFE,68.5,0.982,0,6669.7
CASE39_0026_LINE_25_37,CASE39,26,35,"4,3,37,33,21,22,5,28,35,6,23,9,13,25,38,7,15,36,24,16,2,32,10,39,27,11,26,14,30,34,12,20,1,18,8",40,25,37,0,2,CRITICAL,999.0,0.0,10,6669.7
